episode,reward,shaped_reward,length,epsilon
369,-160,48.81030734009777,233,0.05
370,-120,111.82926621974362,530,0.05
371,-150,30.624938298937725,123,0.05
372,-120,106.96270684258138,502,0.05
373,-100,122.18570136159646,563,0.05
374,-130,87.26510316370958,405,0.05
375,-140,47.92372272445983,210,0.05
376,-150,72.25679039739718,344,0.05
377,-140,28.992792206135874,105,0.05
378,-170,92.65623311649695,471,0.05
379,-130,80.77718469172689,374,0.05
380,-170,81.64132034355917,412,0.05
381,30,193.2383261120667,1000,0.05
382,-150,75.05393897672003,367,0.05
383,40,194.3503711921908,1000,0.05
384,-150,16.726511924691856,51,0.05
385,-140,106.60625864249648,518,0.05
386,-120,143.32647401360748,693,0.05
387,-130,109.60334077883259,527,0.05
388,90,203.7777943571662,1000,0.05
389,-130,112.0291518613099,536,0.05
390,-150,72.81510316370976,348,0.05
391,-160,130.3124253160069,663,0.05
392,-170,19.179734122549863,80,0.05
393,-160,57.951728696335024,283,0.05
394,80,202.28663887837905,1000,0.05
395,80,201.68613524037062,1000,0.05
396,-140,50.91941773876074,222,0.05
397,-150,41.43584083101875,183,0.05
398,-150,25.865685424949284,96,0.05
399,-130,151.80733993270476,748,0.05
400,80,201.07025758425752,1000,0.05
401,-150,79.09057321754757,382,0.05
402,-160,86.54625864249674,432,0.05
403,-180,79.88989898732189,412,0.05
404,-140,78.08069016687331,370,0.05
405,80,202.03297300755435,1000,0.05
406,-130,173.14752847971647,866,0.05
407,-180,89.31496012702333,465,0.05
408,-130,127.60434666540027,620,0.05
409,90,203.13131129986655,1000,0.05
410,80,201.64015582107942,1000,0.05
411,-140,59.45903825337727,270,0.05
412,-160,18.12081940314271,80,0.05
413,-130,125.36647401360766,608,0.05
414,-120,96.13242531600744,445,0.05
415,-130,89.43963310987166,416,0.05
416,-150,31.33870482591915,128,0.05
417,-140,53.3144788784623,238,0.05
418,-160,57.1325263286854,273,0.05
419,-150,101.65837661840666,502,0.05
420,-150,101.03389717858344,497,0.05
421,-140,45.622792206135706,192,0.05
422,-110,102.57132034355904,465,0.05
423,100,204.77217537520394,1000,0.05
424,-140,107.85874294717358,526,0.05
425,-150,32.26710678118662,130,0.05
426,-120,78.08151332522351,349,0.05
427,-120,111.33813763044377,524,0.05
428,-130,95.86700576850825,450,0.05
429,-170,28.5823109575744,132,0.05
430,-120,161.54184451795774,792,0.05
431,-150,39.194213562373086,168,0.05
432,-150,98.44844005548967,483,0.05
433,-150,32.97740905010215,135,0.05
434,50,196.57210893221716,1000,0.05
435,-160,55.2677305050733,265,0.05
436,-130,87.67811333184873,409,0.05
437,-150,40.64941773876083,178,0.05
438,-160,125.58700576850788,635,0.05
439,-170,25.541994573785402,119,0.05
440,-140,67.76767889171288,314,0.05
441,-140,87.64110662477776,427,0.05
442,-130,148.07025683375787,729,0.05
443,90,203.10891505609058,1000,0.05
444,-160,61.767945876184484,300,0.05
445,-140,56.46751513396192,252,0.05
446,80,201.45386260889143,1000,0.05
447,-150,88.87389717858358,433,0.05
448,-120,119.83416305603339,566,0.05
449,-160,37.267056274847725,168,0.05
450,-110,143.99164061440055,691,0.05
451,-160,42.12920236764951,194,0.05
452,-120,78.03705627484729,345,0.05
453,-130,96.68034373156273,459,0.05
454,80,202.017578986055,1000,0.05
455,-130,92.0336646903711,435,0.05
456,-150,24.739202367649604,94,0.05
457,-170,142.91600199787663,742,0.05
458,-120,162.29900034229274,797,0.05
459,-140,66.5542135623728,303,0.05
460,-130,109.07213613656626,523,0.05
461,-160,13.01520417638777,39,0.05
462,-110,163.49153515330877,793,0.05
463,-120,180.50150963495005,897,0.05
464,-110,89.21785714041977,394,0.05
465,-160,36.56852813742389,163,0.05
466,70,199.59794819495949,1000,0.05
467,-140,62.75045248390298,290,0.05
468,-130,105.53105446610878,501,0.05
469,-160,17.229949493661174,61,0.05
470,-130,60.968793366584265,265,0.05
471,-140,58.52072548706476,264,0.05
472,-150,113.52700576850806,562,0.05
473,-130,55.44901586393028,243,0.05
474,-140,27.032019554124513,95,0.05
475,-130,124.85505265737046,605,0.05
476,-120,69.9800450210944,309,0.05
477,-140,109.98418747501178,536,0.05
478,-150,147.40412848634222,749,0.05
479,-140,71.74107888508746,336,0.05
480,-160,45.06009196898651,213,0.05
481,-140,55.66564784935434,245,0.05
482,-130,196.61162768365566,988,0.05
483,-150,79.80495423558523,389,0.05
484,-160,90.07285864912211,450,0.05
485,70,200.63309954623185,1000,0.05
486,-110,98.65673989105814,447,0.05
487,-120,77.78676431003665,350,0.05
488,-120,87.90649899394718,397,0.05
489,-120,144.18746805723268,698,0.05
490,-170,106.75652451994665,546,0.05
491,-160,110.90639798126927,561,0.05
492,90,203.04678135370463,1000,0.05
493,-130,92.62978626053777,437,0.05
494,-150,50.644304985698966,230,0.05
495,-160,24.292589636932334,99,0.05
496,-140,54.04289159381953,240,0.05
497,-160,22.000889601337047,87,0.05
498,-140,76.20126983722042,358,0.05
499,160,216.4538875892306,1000,0.05
500,-140,126.87905084863206,628,0.05
