episode,reward,length,epsilon
440,-80,48,0.8024746459248447
441,-30,116,0.8020734086018824
442,-50,48,0.8016723718975814
443,50,209,0.8012715357116327
444,-10,95,0.8008708999437769
445,320,300,0.8004704644938051
446,-140,39,0.8000702292615582
447,-20,102,0.7996701941469275
448,90,93,0.7992703590498541
449,-120,59,0.7988707238703292
450,-60,67,0.7984712885083941
451,120,273,0.79807205286414
452,50,166,0.797673016837708
453,-40,60,0.7972741803292892
454,50,145,0.7968755432391246
455,-70,64,0.796477105467505
456,290,300,0.7960788669147714
457,230,255,0.7956808274813141
458,40,124,0.7952829870675735
459,-10,94,0.7948853455740398
460,-40,25,0.7944879029012528
461,30,155,0.7940906589498022
462,-80,25,0.7936936136203274
463,80,155,0.7932967668135174
464,90,166,0.7929001184301107
465,-40,48,0.7925036683708957
466,-70,70,0.7921074165367102
467,-70,51,0.7917113628284419
468,190,152,0.7913155071470277
469,340,300,0.7909198493934543
470,60,111,0.7905243894687576
471,210,300,0.7901291272740233
472,-100,14,0.7897340627103864
473,-10,142,0.7893391956790312
474,290,300,0.7889445260811917
475,-30,80,0.7885500538181511
476,-140,32,0.7881557787912421
477,-100,39,0.7877617009018465
478,20,50,0.7873678200513956
479,-60,44,0.7869741361413699
480,70,83,0.7865806490732993
481,80,248,0.7861873587487627
482,-130,32,0.7857942650693883
483,260,300,0.7854013679368537
484,-100,35,0.7850086672528853
485,-20,73,0.784616162919259
486,290,300,0.7842238548377993
487,-90,40,0.7838317429103805
488,-10,43,0.7834398270389253
489,-20,65,0.783048107125406
490,-50,72,0.7826565830718433
491,150,204,0.7822652547803074
492,30,102,0.7818741221529173
493,30,205,0.7814831850918409
494,-10,175,0.781092443499295
495,0,73,0.7807018972775454
496,10,126,0.7803115463289066
497,-70,23,0.7799213905557423
498,60,247,0.7795314298604644
499,-90,41,0.7791416641455342
500,-40,108,0.7787520933134615
501,0,85,0.7783627172668048
502,-120,42,0.7779735359081715
503,-10,137,0.7775845491402175
504,70,230,0.7771957568656473
505,-100,52,0.7768071589872145
506,150,230,0.776418755407721
507,0,165,0.7760305460300172
508,0,78,0.7756425307570022
509,60,161,0.7752547094916237
510,150,181,0.7748670821368779
511,10,114,0.7744796485958095
512,40,290,0.7740924087715116
513,40,81,0.773705362567126
514,20,152,0.7733185098858425
515,-120,54,0.7729318506308996
516,20,201,0.7725453847055842
517,90,100,0.7721591120132315
518,330,300,0.771773032457225
519,0,120,0.7713871459409963
520,-100,48,0.7710014523680259
521,-30,97,0.7706159516418419
522,-50,83,0.770230643666021
523,-110,14,0.7698455283441881
524,20,51,0.769460605580016
525,-110,22,0.7690758752772261
526,-10,98,0.7686913373395875
527,-130,9,0.7683069916709178
528,10,90,0.7679228381750823
529,-70,74,0.7675388767559949
530,40,107,0.7671551073176169
531,-30,64,0.7667715297639581
532,-60,70,0.7663881439990762
533,-110,44,0.7660049499270767
534,-80,37,0.7656219474521132
535,-50,81,0.7652391364783871
536,40,150,0.764856516910148
537,40,129,0.764474088651693
538,-160,20,0.7640918516073671
539,70,156,0.7637098056815635
540,-80,24,0.7633279507787228
541,-60,23,0.7629462868033335
542,-40,100,0.7625648136599319
543,-110,13,0.762183531253102
544,10,67,0.7618024394874755
545,80,211,0.7614215382677318
546,-30,36,0.761040827498598
547,-90,65,0.7606603070848488
548,10,88,0.7602799769313064
549,-40,45,0.7598998369428408
550,130,109,0.7595198870243695
551,130,225,0.7591401270808573
552,290,300,0.7587605570173169
553,-130,13,0.7583811767388083
554,-50,55,0.758001986150439
555,20,200,0.7576229851573638
556,10,109,0.7572441736647851
557,-80,55,0.7568655515779528
558,-110,75,0.7564871188021638
559,-50,38,0.7561088752427627
560,-60,55,0.7557308208051414
561,-90,77,0.7553529553947389
562,30,201,0.7549752789170415
563,50,227,0.7545977912775831
564,-90,43,0.7542204923819443
565,-30,85,0.7538433821357534
566,-70,80,0.7534664604446856
567,-30,142,0.7530897272144633
568,-130,26,0.7527131823508562
569,-110,159,0.7523368257596807
570,-20,220,0.751960657346801
571,-30,85,0.7515846770181276
572,300,300,0.7512088846796185
573,-120,55,0.7508332802372788
574,50,201,0.7504578635971602
575,-100,31,0.7500826346653616
576,20,158,0.7497075933480289
577,-50,156,0.7493327395513549
578,-120,13,0.7489580731815793
579,260,300,0.7485835941449885
580,-40,101,0.748209302347916
581,-40,69,0.7478351976967421
582,-140,27,0.7474612800978938
583,150,236,0.747087549457845
584,-10,107,0.7467140056831161
585,-150,13,0.7463406486802746
586,20,95,0.7459674783559345
587,-10,97,0.7455944946167565
588,-120,29,0.7452216973694482
589,-50,81,0.7448490865207635
590,-100,30,0.7444766619775032
591,-90,49,0.7441044236465144
592,70,209,0.7437323714346912
593,-50,43,0.7433605052489739
594,-90,52,0.7429888249963494
